H3_Index,Position,Year,Avg_FFI
863f299a7ffffff,N1,2005,0.004184249788363174
863f299a7ffffff,N1,2006,0.004323739440169832
863f299a7ffffff,N1,2007,0.004676292089166761
863f299a7ffffff,N1,2008,0.004556300737301329
863f299a7ffffff,N1,2009,0.0042730893116067325
863f299a7ffffff,N1,2010,0.004199153978699305
863f299a7ffffff,N1,2011,0.004027028797888134
863f299a7ffffff,N1,2012,0.0038235604880066895
863f299a7ffffff,N1,2013,0.0037016530448275276
863f299a7ffffff,N1,2014,0.003478481120998084
863f299a7ffffff,N1,2015,0.0037016630985131677
863f299a7ffffff,N1,2016,0.0038167267326174076
863f299a7ffffff,N1,2017,0.003989274059271963
863f299a7ffffff,N1,2018,0.003628847623311223
863f299a7ffffff,N1,2019,0.003743960782034812
863f299a7ffffff,N1,2020,0.004038707057120239
863f299a7ffffff,N1,2021,0.004137715677248915
863f299a7ffffff,N1,2022,0.004262949837724239
